DNI	Coghom_1	Cognom_2	Nom	Categoria	Nivell_salarial	Grup_professional	Salari_base	Complement	Comisions	Plus_transport	Total_nomina
11111111	LOJA	RODRIGO	MARIA ANGELES	Operador telefònic	1	6	563,821475364514	87,1467551356484	0	500	1150,96823050016
11111112	ALVAREZ	CABRERA	ISABEL	Administratiu nivell 2	7	4	681,193129229623	242,5143942399	0	500	1423,70752346952
11111113	DE MONACO	SERRANO	ALBERTO	Gestor de tràmits	2	6	581,509261596529	53,7905833423485	0	500	1135,29984493888
11111114	ESTEVE	ROSALENY	VICENT	Director	17	1	1068,07063094251	514,586563773394	411,525008113663	500	2494,18220282956
11111115	DAROCA	URIARTE	TERESA	Gravador/Controlador de dades	6	5	640,486579399709	92,2553580229106	0	500	1232,74193742262
11111116	ULISES	TROYA	PENELOPE	Administratiu nivell 2	7	4	681,193129229623	140,847186662339	0	500	1322,04031589196
11111117	ZARAGOZA	VIRGEN	PILAR	Auxiliar administratiu	4	5	598,139266524828	92,2553580229106	0	500	1190,39462454774
11111118	DEL POZO	LINARES	ELENA	Comptable	11	3	806,552233961992	214,861827317202	0	500	1521,41406127919
11111119	MUCHAMEL	CONTRERAS	RAFAEL	Auxiliar administratiu	4	5	598,139266524828	92,2553580229106	0	500	1190,39462454774
11111120	PERIS	MARTINEZ	TOMAS	Administratiu nivell 1	9	4	717,746685418244	146,346447417451	0	500	1364,0931328357
11111121	BUITRON	SANCHIS	VICENTE	Auxiliar administratiu	4	5	598,139266524828	304,400610628298	0	500	1402,53987715313
11111122	ESTELLES	BALAGUER	BEGOÑA	Administratiu nivell 1	9	4	717,746685418244	146,346447417451	0	500	1364,0931328357
11111123	BELTRAN	MIRADOR	ANGELES	Cap de sucursal	12	3	829,432764775883	271,951967112618	74,8620677220439	500	1676,24679961054
11111124	AGOST	ALACANT	MARGARITA	Cap de sucursal	12	3	829,432764775883	214,861827317202	101,162357409878	500	1645,45694950296
11111125	MAGNO	GRECIA	ALEJANDRO	Cap de sucursal	12	3	829,432764775883	271,951967112618	117,479836043898	500	1718,8645679324
11111126	MORA	LEON	JUAN CARLOS	Administratiu nivell 1	9	4	717,746685418244	146,346447417451	0	500	1364,0931328357
11111127	ARCADIO	SABATER	ENCARNACION	Comptable	11	3	806,552233961992	214,861827317202	0	500	1521,41406127919
11111128	PALANCIA	MATAIX	JOSE JOAQUIN	Administratiu nivell 1	9	4	717,746685418244	146,346447417451	0	500	1364,0931328357
11111129	MCGUINESS	NEBOT	DAVID	Administratiu nivell 1	9	4	717,746685418244	146,346447417451	0	500	1364,0931328357
11111130	RAMIREZ	APARICI	MIGUEL ANGEL	Auxiliar administratiu	4	5	598,139266524828	242,5143942399	0	500	1340,65366076473
11111131	MORENO	ALARCON	PABLO	Auxiliar administratiu	4	5	598,139266524828	140,847186662339	0	500	1238,98645318717
11111132	SANCHEZ	ROBLEDO	JOSE JUAN	Auxiliar administratiu	4	5	598,139266524828	92,2553580229106	0	500	1190,39462454774
11111133	VALIENTE	AMADOR	VORO	Cap de sucursal	12	3	829,432764775883	214,861827317202	93,0787446059164	500	1637,373336699
11111134	GARCIA	GARCIA	ANTONIO	Gravador/Controlador de dades	6	5	640,486579399709	92,2553580229106	0	500	1232,74193742262
11111135	SORIA	ALACREU	GEMA MARIA	Auxiliar administratiu	4	5	598,139266524828	148,209584941041	0	500	1246,34885146587
11111136	DELGADO	CASTROVIEJO	JONATAN	Cap d'àrea	15	3	891,264890074886	450,759078287837	161,996802615605	500	2004,02077097833
11111137	MARTINEZ	REAL	JORGE	Auxiliar administratiu	4	5	598,139266524828	148,215595062085	0	500	1246,35486158691
11111138	MARTORELL	GOMEZ	SEBASTIAN	Gravador/Controlador de dades	6	5	640,486579399709	92,2553580229106	0	500	1232,74193742262
11111139	VILANOVA	ASTORGA	ADRIANA	Cap de sucursal	12	3	829,432764775883	214,861827317202	75,4089887370332	500	1619,70358083012
11111140	ALCANTARA	BURRIANA	AITANA	Operador telefònic	1	6	563,821475364514	87,1467551356484	0	500	1150,96823050016
11111141	MARTINEZ	DEL HIERRO	OSCAR	Gestor i assessor	16	2	949,400790931929	459,89446227447	272,072169533494	500	2181,36742273989
11111142	SIMANCAS	LACASA	EMILIO	Auxiliar administratiu	4	5	598,139266524828	148,221605183128	0	500	1246,36087170796
11111143	BAYO	BACALAO	XIMO	Operador telefònic	1	6	563,821475364514	146,045941365259	0	500	1209,86741672977
11111144	ZUMALACARREGUI	GOICOECHEA	LEIRE	Auxiliar administratiu	4	5	598,139266524828	92,2553580229106	0	500	1190,39462454774
11111145	LAUREANO	VILLODRE	CARMEN	Operador telefònic	1	6	563,821475364514	146,045941365259	0	500	1209,86741672977
11111146	SOSPEDRA	VILLENA	AMPARO	Administratiu nivell 1	9	4	717,746685418244	146,346447417451	0	500	1364,0931328357
11111147	MARTIN	LORIENTE	ALFONSO	Administratiu nivell 2	7	4	681,193129229623	304,400610628298	0	500	1485,59373985792
11111148	QUIROGA	SANJUAN	ESTELA	Gestor de tràmits	2	6	581,509261596529	53,7905833423485	0	500	1135,29984493888
11111149	CONDOMINA	DAROCA	ESTHER	Auxiliar administratiu	4	5	598,139266524828	148,221605183128	0	500	1246,36087170796
11111150	GENARO	LAHUERTA	VICTORIA	Gestor i assessor	16	2	949,400790931929	354,597141586432	264,367194355294	500	2068,36512687366
11111151	BELMONTE	GIL	INMACULADA	Gestor i assessor	16	2	949,400790931929	354,597141586432	239,515343839025	500	2043,51327635739
11111152	MURCIANO	SINRASTRO	ENRIQUE	Gestor i assessor	16	2	949,400790931929	459,89446227447	231,155265467047	500	2140,45051867345
11111153	FERRANDO	DEL RIO	JESUS	Gestor i assessor	16	2	949,400790931929	354,597141586432	298,023872200786	500	2102,02180471915
11111154	TORREGROSA	BERLANGA	OLGA	Gestor i assessor	16	2	949,400790931929	459,89446227447	287,848737273569	500	2197,14399047997
11111155	SOLER	CULLERA	ANA JOSEFA	Auxiliar administratiu	4	5	598,139266524828	92,2553580229106	0	500	1190,39462454774
11111156	CASTELLO	SOLAZ	ARANTXA	Auxiliar administratiu	4	5	598,139266524828	148,221605183128	0	500	1246,36087170796
11111157	MARTINEZ	TERUEL	DAVID	Auxiliar administratiu	4	5	598,139266524828	148,221605183128	0	500	1246,36087170796
11111158	BERENGUER	DALMAU	JUAN	Director	17	1	1068,07063094251	514,586563773394	345,053069368817	500	2427,71026408472
11111159	CERVERA	GONZALEZ	ANA MARIA	Auxiliar administratiu	4	5	598,139266524828	148,221605183128	0	500	1246,36087170796
11111160	BARILOCHE	SANZ	EUGENIA	Gestor de tràmits	2	6	581,509261596529	53,7905833423485	0	500	1135,29984493888
11111161	GOMEZ	COLOMER	JOSE MARIA	Gestor de tràmits	2	6	581,509261596529	53,7905833423485	0	500	1135,29984493888
11111162	GOMEZ	COLOMER	ANITA	Cap d'àrea	15	3	891,264890074886	450,759078287837	214,236774728643	500	2056,26074309137
11111163	RAUSELL	MOYA	VICTOR	Cap de sucursal	12	3	829,432764775883	271,951967112618	121,073888428113	500	1722,45862031661
11111164	DE LA PAZ	BORT	MARIA	Cap de sucursal	12	3	829,432764775883	271,951967112618	95,4046614498816	500	1696,78939333838
11111165	PEREZ	ESTUBENY	AMALIA	Cap de sucursal	12	3	829,432764775883	271,951967112618	74,8380272378686	500	1676,22275912637
11111166	MESEGUER	LLOPIS	ANDREU	Cap d'àrea	15	3	891,264890074886	450,759078287837	231,263447645836	500	2073,28741600856
11111167	GIRON	GARCIA	ADELA	Gestor de tràmits	2	6	581,509261596529	53,7905833423485	0	500	1135,29984493888
11111168	PASTOR	MORENO	LOLA	Cap d'àrea	15	3	891,264890074886	450,759078287837	231,215366677485	500	2073,23933504021
